Document Title,Authors,Journal,Publisher,DOI,name,Publication date,license,License link,set,category
Transport and Electrochemical Interface Properties of Ionomers in Low-Pt Loading Catalyst Layers: Effect of Ionomer Equivalent Weight and Relative Humidity,Sushmit Poojary;Muhammad Naoshad Islam;Udit N. Shrivastava;Edward P. L. Roberts;Kunal Karan,Molecules,MDPI,10.3390/molecules25153387,pemfc_14,26.07.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train3,pemfc
Experimental Characterization and Simulation of Thermoplastic Polymer Flow Hesitation in Thin-Wall Injection Molding Using Direct In-Mold Visualization Technique,Francesco Regi;Patrick Guerrier;Yang Zhang;Guido Tosello,Micromachines,MDPI,10.3390/mi11040428,poly_01,19.04.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train2,poly
Molecular Dynamics Simulation on the Interfacial Behavior of Over-Molded Hybrid Fiber Reinforced Thermoplastic Composites,Bingyan Jiang;Muhan Zhang;Liang Fu;Mingyong Zhou;Zhanyu Zhai,Polymers,MDPI,10.3390/polym12061270,poly_02,02.06.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train4,poly
Radial Basis Function Neural Network-Based Modeling of the Dynamic Thermo-Mechanical Response and Damping Behavior of Thermoplastic Elastomer Systems,Ivan Kopal;Marta Harničárová;Jan Valíček;Jan Krmela;Ondrej Lukáč,Polymers,MDPI,10.3390/polym11061074,poly_04,21.06.2019,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train1,poly
Modeling the Temperature Dependence of Dynamic Mechanical Properties and Visco-Elastic Behavior of Thermoplastic Polyurethane Using Artificial Neural Network,Ivan Kopal;Marta Harničárová;Jan Valíček;Milena Kušnerová,Polymers,MDPI,10.3390/polym9100519,poly_05,18.10.2017,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train3,poly
Identification of the elasto-viscoplastic parameters for a thermoplastic polymer by instrumented indentation,A. Mokhtari;N. Tala Ighil,IOP Conference Series: Materials Science and Engineering,IOP Publishing,10.1088/1757-899X/461/1/012057,poly_07,12.2018,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train5,poly
Determination of polymer melts flow-activation energy a function of wide range shear rate,G Toth;D Nagy;A Bata;K Belina,Journal of Physics: Conference Series,IOP Publishing,10.1088/1742-6596/1045/1/012040,poly_09,06.2018,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,test,poly
Morphological Monte Carlo Simulation for Crystallization of Isotactic Polypropylene in a Temperature Gradient,Chunlei Ruan,Crystals,MDPI,10.3390/cryst9040213,poly_11,20.04.2019,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,dev,poly
"Application of UV photoluminescence imaging spectroscopy for stacking faults identification on thick, lightly n-type doped, 4°-off 4H-SiC epilayers",N. Thierry-Jebali;C. Kawahara;T. Miyazawa;H. Tsuchida;T. Kimoto,AIP Advances,American Institute of Physics,10.1063/1.4915128,semi_01,12.03.2015,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train5,semi
Photoluminescence study of oxidation-induced faults in 4H-SiC epilayers,Yutaro Miyano;Ryosuke Asafuji;Shuhei Yagi;Yasuto Hijikata;Hiroyuki Yaguchi,AIP Advances,American Institute of Physics,10.1063/1.4938126,semi_02,14.12.2015,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train4,semi
Behavior of SiC MOSFET under Short-Circuit during the On-State,Meiting Cui;Jinyuan Li;Yujie Du;Zhibin Zhao,IOP Conference Series: Materials Science and Engineering,IOP Publishing,10.1088/1757-899X/439/2/022026,semi_03,11.2018,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train3,semi
"Mobility improvement of 4H-SiC (0001) MOSFETs by a three-step process of H2 etching, SiO2 deposition, and interface nitridation",Keita Tachiki;Mitsuaki Kaneko;Tsunenobu Kimoto,Applied Physics Express,IOP Publishing,10.35848/1882-0786/abdcd9,semi_04,29.01.2021,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,dev,semi
Genesis and evolution of extended defects: The role of evolving interface instabilities in cubic SiC,Giuseppe Fisicaro;Corrado Bongiorno;Ioannis Deretzis;Filippo Giannazzo;Francesco La Via;Fabrizio Roccaforte;Marcin Zielinski;Massimo Zimbone;Antonino La Magna,Applied Physics Reviews,American Institute of Physics,10.1063/1.5132300,semi_05,28.04.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train2,semi
Brominated Chemistry for Chemical Vapor Deposition of Electronic Grade SiC,Milan Yazdanfar;Örjan Danielsson;Emil Kalered;Pitsiri Sukkaew;Olle Kordina;Daniel Nilsson;Ivan G. Ivanov;Lars Ojamäe;Erik Janzén;Henrik Pedersen,Chemistry of Materials,American Chemical Society,10.1021/acs.chemmater.5b00074,semi_06,22.01.2015,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train1,semi
Free-standing 2-inch bulk GaN crystal fabrication by HVPE using a carbon buffer layer,V V Voronenkov;A A Leonidov;N I Bochkareva;R I Gorbunov;P E Latyshev;Y S Lelikov;V S Kogotkov;A S Zubrilov;Y G Shreter,Journal of Physics: Conference Series,IOP Publishing,10.1088/1742-6596/1199/1/012004,semi_08,02.2019,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,test,semi
Rational Design of a Water-Storable Hierarchical Architecture Decorated with Amorphous Barium Oxide and Nickel Nanoparticles as a Solid Oxide Fuel Cell Anode with Excellent Sulfur Tolerance,Yufei Song;Wei Wang;Lei Ge;Xiaomin Xu;Zhenbao Zhang;Paulo Sérgio Barros Julião;Wei Zhou;Zongping Shao,Advanced Science,Wiley-VCH,10.1002/advs.201700337,sofc_01,15.09.2017,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,test,sofc
Micro solid oxide fuel cell fabricated on porous stainless steel: a new strategy for enhanced thermal cycling ability,Kun Joong Kim;Byung Hyun Park;Sun Jae Kim;Younki Lee;Hongyeul Bae;Gyeong Man Choi,Scientific Reports,Nature Research,10.1038/srep22443,sofc_02,01.03.2016,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train3,sofc
In Situ Impedance Analysis of Oxygen Exchange on Growing La0.6Sr0.4CoO3−δ Thin Films,Ghislain M. Rupp;Markus Kubicek;Alexander K. Opitz;Jürgen Fleig,ACS Applied Energy Materials,American Chemical Society,10.1021/acsaem.8b00586,sofc_03,20.08.2018,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train4,sofc
3D Self‐Architectured Steam Electrode Enabled Efficient and Durable Hydrogen Production in a Proton‐Conducting Solid Oxide Electrolysis Cell at Temperatures Lower Than 600 °C,Wei Wu;Hanping Ding;Yunya Zhang;Yong Ding;Prashant Katiyar;Prasun K. Majumdar;Ting He;Dong Ding,Advanced Science,Wiley-VCH,10.1002/advs.201800360,sofc_04,31.08.2018,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,dev,sofc
The Influence of Magnetic Field on Fatigue and Mechanical Properties of a 35CrMo Steel,Qing Gu;Xiaxu Huang;Jiangtao Xi;Zhenfeng Gao,Metals,MDPI,10.3390/met11040542,steel_03,26.03.2021,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train5,steel
Study of 13Cr-4Ni-(Mo) (F6NM) Steel Grade Heat Treatment for Maximum Hardness Control in Industrial Heats,Massimo De Sanctis;Gianfranco Lovicu;Massimiliano Buccioni;Angelo Donato;Maria Richetta;Alessandra Varone,Metals,MDPI,10.3390/met7090351,steel_04,06.09.2017,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,test,steel
"Effect of Annealing Time and Temperature Parameters on the Microstructure, Hardness, and Strain-Hardening Coefficients of 42CrMo4 Steel",Mirosław Szala;Grzegorz Winiarski;Łukasz Wójcik;Tomasz Bulzak,Materials,MDPI,10.3390/ma13092022,steel_05,26.04.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train1,steel
Study on Inclusions Distribution and Cyclic Fatigue Performance of Gear Steel 18CrNiMo7-6 Forging,Min Wang;Wei Xiao;Peng Gan;Chao Gu;Yan-Ping Bao,Metals,MDPI,10.3390/met10020201,steel_06,31.01.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train4,steel
On the Influence of Control Type and Strain Rate on the Lifetime of 50CrMo4,Max Benedikt Geilen;Josef Arthur Schönherr;Marcus Klein;Dominik Sebastian Leininger;Alexander Giertler;Ulrich Krupp;Matthias Oechsner,Metals,MDPI,10.3390/met10111458,steel_07,30.10.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,dev,steel
Evolution of White Etching Bands in 100Cr6 Bearing Steel under Rolling Contact-Fatigue,Hanwei Fu;Pedro E. J. Rivera-Díaz-del-Castillo,Metals,MDPI,10.3390/met9050491,steel_08,27.04.2019,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train3,steel
Effect of Pre-Corrosion Pits on Residual Fatigue Life for 42CrMo Steel,Dezheng Liu;Yan Li;Xiangdong Xie;Jing Zhao,Materials,MDPI,10.3390%2Fma12132130,steel_11,02.07.2019,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train2,steel
